district,latitude,longitude,year,month,crime_category,crime_count,severity_weight,risk_weight,source,source_url
Bagalkote,16.18,75.696,2020,0,Assault on Women,139,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,Cruelty by Husband,31,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,Dowry Death,4,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,Dowry Harassment,23,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,Human Trafficking,3,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,Kidnapping of Women,1,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,POCSO Rape,23,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,POCSO Sexual Assault,8,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,Rape,10,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2020,0,Sexual Harassment,2,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,Assault on Women,152,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,Cruelty by Husband,87,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,Cyber Harassment,6,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,Dowry Death,9,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,Dowry Harassment,79,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,Kidnapping of Women,7,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,POCSO Rape,59,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,POCSO Sexual Assault,18,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2020,0,Rape,29,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Acid Attack,1,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Assault on Women,279,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Attempt to Rape,1,90,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Cruelty by Husband,146,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Cyber Harassment,2,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Dowry Death,2,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Dowry Harassment,25,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Human Trafficking,4,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Kidnapping of Women,15,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Molestation,1,80,85,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,POCSO Rape,97,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,POCSO Sexual Assault,22,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2020,0,Rape,36,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Acid Attack,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Assault on Women,697,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Attempt to Rape,5,90,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Cruelty by Husband,487,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Cyber Harassment,79,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Dowry Death,36,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Dowry Harassment,611,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Gang Rape,1,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Human Trafficking,16,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Kidnapping of Women,469,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,POCSO Rape,265,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,POCSO Sexual Assault,71,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Rape,122,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2020,0,Sexual Harassment,25,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Assault on Women,76,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Attempt to Rape,3,90,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Cruelty by Husband,61,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Dowry Death,8,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Dowry Harassment,18,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Human Trafficking,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Kidnapping of Women,6,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Molestation,1,80,85,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,POCSO Rape,21,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,POCSO Sexual Assault,5,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Rape,5,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2020,0,Sexual Harassment,4,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,Assault on Women,138,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,Cruelty by Husband,17,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,Dowry Death,4,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,Dowry Harassment,3,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,Kidnapping of Women,2,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,POCSO Rape,24,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,POCSO Sexual Assault,12,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,Rape,15,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2020,0,Sexual Harassment,1,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2020,0,Assault on Women,60,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2020,0,Cruelty by Husband,26,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2020,0,Dowry Death,6,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2020,0,Dowry Harassment,30,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2020,0,Kidnapping of Women,39,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2020,0,POCSO Rape,84,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2020,0,POCSO Sexual Assault,12,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2020,0,Rape,20,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2020,0,Assault on Women,143,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2020,0,Cruelty by Husband,50,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2020,0,Dowry Death,2,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2020,0,Dowry Harassment,12,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2020,0,Human Trafficking,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2020,0,POCSO Rape,54,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2020,0,POCSO Sexual Assault,20,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2020,0,Rape,10,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,Assault on Women,239,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,Cruelty by Husband,46,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,Dowry Death,6,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,Dowry Harassment,26,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,Kidnapping of Women,6,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,POCSO Rape,55,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,POCSO Sexual Assault,5,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,Rape,13,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2020,0,Sexual Harassment,3,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,Acid Attack,1,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,Assault on Women,100,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,Cruelty by Husband,33,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,Cyber Harassment,15,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
